timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606188710313,242,HTTP Request POST,200,, POST Thread Group 2-2,,true,,121,277,8,12,http://localhost:8091/api/bankaccount,240,0,53
1606188710423,133,HTTP Request GET,200,,Get thread Group 1-4,text,true,,22207,134,4,12,http://localhost:8091/api/bankaccount,126,0,0
1606188710391,165,HTTP Request POST,200,, POST Thread Group 2-6,,true,,121,277,8,12,http://localhost:8091/api/bankaccount,165,0,1
1606188710314,242,HTTP Request POST,200,, POST Thread Group 2-4,,true,,121,277,8,12,http://localhost:8091/api/bankaccount,235,0,53
1606188710313,250,HTTP Request GET,200,,Get thread Group 1-1,text,true,,22207,134,4,12,http://localhost:8091/api/bankaccount,235,0,53
1606188710314,258,HTTP Request POST,200,, POST Thread Group 2-3,,true,,121,277,9,14,http://localhost:8091/api/bankaccount,258,0,53
1606188710314,260,HTTP Request GET,200,,Get thread Group 1-2,text,true,,22207,134,5,14,http://localhost:8091/api/bankaccount,259,0,53
1606188710322,254,HTTP Request GET,200,,Get thread Group 1-3,text,true,,22207,134,5,14,http://localhost:8091/api/bankaccount,254,0,45
1606188710341,240,HTTP Request POST,200,, POST Thread Group 2-5,,true,,121,277,9,14,http://localhost:8091/api/bankaccount,240,0,26
1606188710313,307,HTTP Request POST,200,, POST Thread Group 2-1,,true,,121,277,10,15,http://localhost:8091/api/bankaccount,307,0,53
1606188710561,62,HTTP Request POST,200,, POST Thread Group 2-6,,true,,121,277,10,15,http://localhost:8091/api/bankaccount,62,0,0
1606188710560,67,HTTP Request GET,200,,Get thread Group 1-4,text,true,,22972,134,5,15,http://localhost:8091/api/bankaccount,62,0,0
1606188710575,52,HTTP Request GET,200,,Get thread Group 1-2,text,true,,23057,134,5,15,http://localhost:8091/api/bankaccount,50,0,0
1606188710560,69,HTTP Request POST,200,, POST Thread Group 2-4,,true,,121,277,10,15,http://localhost:8091/api/bankaccount,69,0,0
1606188710440,197,HTTP Request POST,200,, POST Thread Group 2-7,,true,,121,277,10,16,http://localhost:8091/api/bankaccount,197,0,1
